,video,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MOS,content,resolution,bitrate,bitrate_mu,AQ,is_AQ_test,level,reference,sureal,MOS_y,sureal_y,aDMOS,sureal_DMOS
0,BTFB-01h12m33s_res1080_mu1200_sigma100_rate1213_aqOn.yuv,47,74,42,65,65.0,54,62,23,75,69,72,78.0,85,52,60,50,60,75,52,67,55,49,52,73,65,70,51,64,49,31,42,63,41,95,81,52,65,45,75,63,75.0,82,85,61.627906976744185,BTFB-01h12m33s,1080p,1213,1200,On,True,1080p_1200,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,61.461444521690936,78.0952380952381,76.55510058640833,16.467331118493917,15.093656064717393
1,BTFB-01h12m33s_res2160_mu11200_sigma300_rate10924_aqOn.yuv,85,90,61,77,76.0,83,51,71,79,70,100,85.0,85,62,99,76,85,100,69,65,100,73,52,84,62,95,85,76,61,52,70,87,97,94,98,69,79,93,76,100,92.0,100,89,80.30232558139535,BTFB-01h12m33s,2160p,10924,11200,On,True,2160p_11200,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,78.90767087388836,78.0952380952381,76.55510058640833,-2.207087486157249,-2.3525702874800345
2,BTFB-01h12m33s_res2160_mu3000_sigma300_rate3012_aqOn.yuv,75,61,41,74,,65,66,26,77,44,55,62.0,85,70,82,50,93,83,61,83,74,75,46,75,68,82,74,66,61,74,75,56,79,82,68,63,85,41,76,71,,88,56,68.0,BTFB-01h12m33s,2160p,3012,3000,On,True,2160p_3000,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.42896819303786,78.0952380952381,76.55510058640833,10.095238095238102,8.126132393370469
3,BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOn.yuv,50,58,37,64,15.0,33,30,78,59,62,84,37.0,67,35,20,49,21,67,28,60,31,37,60,75,50,34,35,52,51,46,46,31,46,74,70,54,37,28,44,46,45.0,88,41,48.25581395348837,BTFB-01h12m33s,600p,703,800,On,True,600p_800,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,47.479161380838256,78.0952380952381,76.55510058640833,29.83942414174973,29.075939205570073
4,BTFB-01h12m33s_res2160_mu3000_sigma300_rate3012_aqOff.yuv,90,97,40,76,,78,40,89,64,41,83,60.0,81,63,53,82,70,95,70,86,79,82,92,73,67,59,74,76,63,52,59,44,61,98,74,34,74,74,87,73,,82,87,71.26829268292683,BTFB-01h12m33s,2160p,3012,3000,Off,True,2160p_3000,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.18166105688219,78.0952380952381,76.55510058640833,6.826945412311275,6.373439529526138
5,BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOff.yuv,60,61,40,60,,57,26,73,68,78,71,,59,33,42,31,36,42,50,57,64,37,38,46,60,59,33,50,41,44,32,52,51,63,48,26,61,36,41,30,58.0,82,41,49.68292682926829,BTFB-01h12m33s,600p,703,800,Off,True,600p_800,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,48.494549621385794,78.0952380952381,76.55510058640833,28.412311265969812,28.060550965022536
6,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,87,99,41,91,,85,75,69,85,44,81,77.0,85,66,77,64,83,96,96,74,81,74,85,80,65,80,73,74,63,53,68,75,98,100,72,69,91,75,73,93,77.0,100,86,78.0952380952381,BTFB-01h12m33s,2160p,100000,100000,On,True,2160p_100000,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.55510058640833,78.0952380952381,76.55510058640833,0.0,0.0
7,BTFB-01h12m33s_res720_mu1500_sigma100_rate1625_aqOff.yuv,80,74,44,74,,75,26,95,83,77,76,69.0,76,50,59,48,65,72,46,64,75,49,57,67,66,62,68,71,61,21,49,65,71,80,93,49,58,66,78,79,80.0,37,54,64.5,BTFB-01h12m33s,720p,1625,1500,Off,True,720p_1500,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,64.52471154812945,78.0952380952381,76.55510058640833,13.595238095238102,12.030389038278884
8,BTFB-01h12m33s_res720_mu1500_sigma100_rate1625_aqOn.yuv,79,90,44,61,,88,38,63,81,74,86,66.0,74,45,48,63,53,99,99,67,61,62,56,72,57,69,49,77,42,54,54,58,63,77,61,38,70,51,62,52,73.0,91,84,65.5,BTFB-01h12m33s,720p,1625,1500,On,True,720p_1500,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.84860030172318,78.0952380952381,76.55510058640833,12.595238095238102,12.706500284685148
9,BTFB-01h12m33s_res1080_mu5400_sigma300_rate5254_aqOn.yuv,85,99,41,62,64.0,91,71,68,77,64,92,80.0,85,59,87,54,72,76,74,66,60,87,76,74,73,90,87,62,77,74,73,80,77,88,88,60,68,81,70,96,,84,78,75.47619047619048,BTFB-01h12m33s,1080p,5254,5400,On,True,1080p_5400,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,74.9483984958985,78.0952380952381,76.55510058640833,2.6190476190476204,1.6067020905098275
