video,scores
BTFB-01h05m40s_res1080_mu5400_sigma300_rate5202_aqOn.yuv,7.33356793993599
BTFB-01h05m40s_res600_mu800_sigma50_rate779_aqOff.yuv,7.10774596569468
BTFB-01h05m40s_res2160_mu3000_sigma300_rate3123_aqOn.yuv,8.20791407858867
BTFB-01h05m40s_res2160_mu1000_sigma100_rate985_aqOn.yuv,7.3546745329571
BTFB-01h05m40s_res720_mu1500_sigma100_rate1597_aqOff.yuv,7.1802042677595
BTFB-01h05m40s_res2160_mu11200_sigma300_rate11099_aqOn.yuv,8.83412754510753
BTFB-01h05m40s_res720_mu1500_sigma100_rate1597_aqOn.yuv,7.19481594985768
BTFB-01h05m40s_res1080_mu500_sigma100_rate481_aqOn.yuv,6.90993795014534
BTFB-01h05m40s_res1080_mu1200_sigma100_rate1172_aqOff.yuv,7.09614232473588
BTFB-01h05m40s_res2160_mu3000_sigma300_rate3123_aqOff.yuv,8.11947158389104
BTFB-01h05m40s_res1080_mu1200_sigma100_rate1172_aqOn.yuv,7.09893206994663
BTFB-01h05m40s_res600_mu800_sigma50_rate779_aqOn.yuv,7.10305039364617
CMDY-101-00h10m21s_res600_mu800_sigma200_rate537_aqOn.yuv,6.77917305325548
CMDY-101-00h10m21s_res720_mu1500_sigma300_rate1807_aqOn.yuv,7.54686395211907
CMDY-101-00h10m21s_res1080_mu5400_sigma300_rate5789_aqOn.yuv,8.32097663459525
CMDY-101-00h10m21s_res2160_mu1000_sigma100_rate798_aqOn.yuv,5.93944190437116
CMDY-101-00h10m21s_res2160_mu11200_sigma300_rate10759_aqOn.yuv,8.60091342110652
CMDY-101-00h10m21s_res2160_mu3000_sigma300_rate2560_aqOn.yuv,7.36447741243782
CMDY-101-00h10m21s_res1080_mu1200_sigma100_rate1292_aqOn.yuv,7.06842052059812
CMDY-101-00h10m21s_res1080_mu500_sigma100_rate514_aqOn.yuv,6.3311314905369
COVT-110_res1080_mu1200_sigma100_rate1101_aqOn.yuv,8.55599072560758
COVT-110_res2160_mu3000_sigma300_rate2853_aqOn.yuv,9.17939097243922
COVT-110_res1080_mu5400_sigma300_rate5625_aqOn.yuv,9.58431833967915
COVT-110_res2160_mu1000_sigma100_rate1069_aqOn.yuv,8.56111651753221
COVT-110_res720_mu1500_sigma300_rate906_aqOn.yuv,8.69545841608496
COVT-110_res1080_mu500_sigma100_rate578_aqOn.yuv,8.27100234843673
COVT-110_res600_mu800_sigma200_rate1094_aqOn.yuv,8.74081328893464
COVT-110_res2160_mu11200_sigma300_rate11920_aqOn.yuv,9.70994208171402
BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOn.yuv,7.85444606821867
BTFB-01h12m33s_res2160_mu1000_sigma100_rate984_aqOn.yuv,7.4922519989797
BTFB-01h12m33s_res2160_mu3000_sigma300_rate3012_aqOn.yuv,8.49027048929051
BTFB-01h12m33s_res2160_mu3000_sigma300_rate3012_aqOff.yuv,8.44298120059261
BTFB-01h12m33s_res1080_mu1200_sigma100_rate1213_aqOff.yuv,7.98839556083244
BTFB-01h12m33s_res1080_mu5400_sigma300_rate5254_aqOn.yuv,8.89080626886503
BTFB-01h12m33s_res720_mu1500_sigma100_rate1625_aqOn.yuv,8.34912142147324
BTFB-01h12m33s_res720_mu1500_sigma100_rate1625_aqOff.yuv,8.29079933711489
BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOff.yuv,7.76942790531089
BTFB-01h12m33s_res2160_mu11200_sigma300_rate10924_aqOn.yuv,9.0869580552514
BTFB-01h12m33s_res1080_mu1200_sigma100_rate1213_aqOn.yuv,8.1220873299225
BTFB-01h12m33s_res1080_mu500_sigma100_rate541_aqOn.yuv,7.43799299419313
Disney-3_res1080_mu5400_sigma300_rate5404_aqOn.yuv,8.83038791205784
Disney-3_res2160_mu11200_sigma300_rate10955_aqOn.yuv,8.91626190745603
Disney-3_res600_mu800_sigma200_rate1056_aqOn.yuv,8.24961244655885
Disney-3_res1080_mu500_sigma100_rate475_aqOn.yuv,7.63575295642554
Disney-3_res1080_mu1200_sigma100_rate1293_aqOn.yuv,8.34325888529677
Disney-3_res720_mu1500_sigma300_rate2255_aqOn.yuv,8.40773457419349
Disney-3_res2160_mu3000_sigma300_rate3097_aqOn.yuv,8.51952581183561
Disney-3_res2160_mu1000_sigma100_rate819_aqOn.yuv,7.46269024999685
BASN-00h37m18s_res720_mu1500_sigma100_rate1598_aqOn.yuv,8.52376931145332
BASN-00h37m18s_res2160_mu11200_sigma300_rate11167_aqOn.yuv,8.85946169482219
BASN-00h37m18s_res2160_mu1000_sigma100_rate922_aqOn.yuv,7.97736163168233
BASN-00h37m18s_res2160_mu3000_sigma300_rate3027_aqOn.yuv,8.59189874070944
BASN-00h37m18s_res1080_mu1200_sigma100_rate1196_aqOn.yuv,8.24892445158928
BASN-00h37m18s_res1080_mu5400_sigma300_rate5457_aqOn.yuv,8.86178463383949
BASN-00h37m18s_res600_mu800_sigma50_rate841_aqOn.yuv,8.42106609020317
BASN-00h37m18s_res1080_mu500_sigma100_rate694_aqOn.yuv,8.22744590554121
EXPA-505_res2160_mu11200_sigma300_rate10936_aqOn.yuv,9.06383532196829
EXPA-505_res1080_mu5400_sigma300_rate5136_aqOn.yuv,8.92488968452044
EXPA-505_res600_mu800_sigma50_rate809_aqOn.yuv,8.76366533739726
EXPA-505_res2160_mu3000_sigma300_rate3200_aqOn.yuv,8.8906768895938
EXPA-505_res720_mu1500_sigma100_rate1485_aqOn.yuv,8.77000238298623
EXPA-505_res1080_mu500_sigma100_rate448_aqOn.yuv,7.98200631765011
EXPA-505_res1080_mu1200_sigma100_rate1130_aqOn.yuv,8.42545909286367
EXPA-505_res2160_mu1000_sigma100_rate1114_aqOn.yuv,8.5976094295476
BTFB-00h33m50s_res1080_mu1200_sigma100_rate1220_aqOff.yuv,7.579738894503
BTFB-00h33m50s_res1080_mu1200_sigma100_rate1220_aqOn.yuv,7.56487601038128
BTFB-00h33m50s_res2160_mu3000_sigma300_rate2862_aqOn.yuv,7.7800286816959
BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOn.yuv,7.54986213489851
BTFB-00h33m50s_res1080_mu500_sigma100_rate340_aqOn.yuv,6.91495230453375
