,yuv,framenos,content,ref
0,HNNA-102_res1080_mu1200_sigma100_rate1218_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
1,CHMA-101_res720_mu1500_sigma300_rate1826_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
2,HNNA-102_res1080_mu5400_sigma300_rate5218_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
3,CHMA-313-2_res1080_mu1200_sigma100_rate954_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
4,BTFB-01h05m40s_res1080_mu5400_sigma300_rate5202_aqOn.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
5,BTFB-01h05m40s_res600_mu800_sigma50_rate779_aqOff.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
6,BASN-00h37m18s_res720_mu1500_sigma100_rate1598_aqOn.yuv,190,BASN-00h37m18s,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
7,HERO-00h02m40s_res2160_mu1000_sigma100_rate964_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
8,HNNA-102_res2160_mu1000_sigma100_rate941_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
9,CHEM_res720_mu1500_sigma300_rate1833_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
10,BTFB-01h41m55s_res720_mu1500_sigma100_rate1409_aqOff.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
11,CARE-2_res1080_mu1200_sigma100_rate1214_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
12,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
